user_id,gender,neighborhoods,type_service,registration_channel,registration_date,birth_date,system_operation
112312,F,Chelsea,normal,Google,2020-05-30,1995-05-11,Android
112313,M,Chelsea,normal,Promotional code,2020-04-18,1996-12-02,IOS
112320,F,Chelsea,normal,Google,2020-04-19,1998-08-22,Web
112323,F,Chelsea,premium,Google,2020-05-17,1999-06-11,Android
112339,M,Chelsea,normal,Google,2020-05-08,1998-01-04,Web
112345,M,Chelsea,normal,Instagram,2020-04-10,2001-11-11,Android
112358,M,Chelsea,normal,Instagram,2020-04-08,2001-05-15,Web
112376,M,Chelsea,normal,Google,2020-04-10,1996-05-08,Android
112380,M,Chelsea,premium,Google,2020-05-24,2000-05-09,Android
112385,M,Chelsea,normal,Facebook,2020-04-11,2002-10-24,Web
112413,F,Chelsea,normal,Google,2020-05-30,1996-03-02,Android
112420,F,Chelsea,premium,Google,2020-05-03,1995-04-03,Android
112432,M,Chelsea,premium,Facebook,2020-05-08,1999-08-08,Web
112441,M,Chelsea,normal,Instagram,2020-05-06,2001-02-09,Android
112442,M,Chelsea,premium,Facebook,2020-05-18,2002-06-05,Web
112451,F,Chelsea,premium,Google,2020-05-01,2001-05-08,IOS
112453,F,Chelsea,premium,Promotional code,2020-04-30,1999-10-20,Android
112463,M,Chelsea,normal,Facebook,2020-05-25,2000-11-23,Android
112466,M,Chelsea,normal,Google,2020-04-29,1995-03-24,Android
112468,M,Chelsea,premium,Google,2020-05-16,1997-09-04,Android
112482,M,Chelsea,premium,Marketplace,2020-05-10,1995-08-07,Android
112488,M,Chelsea,normal,Facebook,2020-05-14,2001-02-18,Web
112499,F,Chelsea,normal,Facebook,2020-05-21,1999-10-10,Android
112502,M,Chelsea,premium,Recommendation,2020-04-17,1997-05-26,Android
112511,M,Chelsea,normal,Promotional code,2020-05-27,1995-09-05,Android
112520,F,Chelsea,normal,Google,2020-04-29,1995-03-05,Android
112532,M,Chelsea,normal,Google,2020-04-20,2001-04-24,Android
112556,F,Chelsea,premium,Recommendation,2020-04-06,1997-06-21,Android
112559,F,Chelsea,premium,Facebook,2020-05-23,1997-09-18,Web
112567,M,Chelsea,premium,Instagram,2020-05-16,1995-12-19,Android
112570,M,Chelsea,premium,Google,2020-04-30,1997-04-18,Android
112574,F,Chelsea,normal,Facebook,2020-05-24,2000-08-17,Android
112576,F,Chelsea,normal,Google,2020-04-26,2000-12-27,IOS
112589,F,Chelsea,normal,Google,2020-04-11,1995-02-12,Android
112592,M,Chelsea,premium,Facebook,2020-04-28,1998-08-31,Android
112604,F,Chelsea,normal,Instagram,2020-04-13,1996-06-08,Android
112610,M,Chelsea,premium,Instagram,2020-05-29,2001-08-10,Android
112611,M,Chelsea,normal,Google,2020-05-11,1999-04-30,Android
112621,F,Chelsea,premium,Google,2020-05-07,1996-05-19,Android
112627,F,Chelsea,normal,Google,2020-05-29,1999-01-25,Android
112637,M,Chelsea,premium,Facebook,2020-04-29,1996-12-13,Android
112639,F,Chelsea,premium,Google,2020-04-14,2000-01-17,Android
112641,M,Chelsea,premium,Instagram,2020-04-29,1998-01-19,Android
112649,F,Chelsea,normal,Recommendation,2020-04-30,2002-03-17,Android
112650,M,Chelsea,normal,Promotional code,2020-05-06,1998-09-30,Android
112658,M,Chelsea,normal,Marketplace,2020-04-14,2002-09-08,Android
112680,M,Chelsea,premium,Facebook,2020-05-09,1995-01-03,Android
112701,F,Chelsea,normal,Facebook,2020-04-06,1999-04-05,Android
112717,F,Chelsea,premium,Recommendation,2020-05-30,2001-01-03,Android
112723,F,Chelsea,premium,Google,2020-04-20,1997-06-03,Android
112741,F,Chelsea,premium,Instagram,2020-04-24,1997-02-18,Android
112742,F,Chelsea,normal,Google,2020-05-30,1999-09-11,Android
112753,F,Chelsea,premium,Instagram,2020-04-19,1997-04-26,Android
112755,M,Chelsea,normal,Instagram,2020-05-15,1997-08-16,Android
112765,F,Chelsea,normal,Google,2020-05-09,1997-05-02,Android
112770,M,Chelsea,premium,Google,2020-04-18,1996-04-07,Android
112771,F,Chelsea,premium,Google,2020-04-12,1999-02-16,Android
112776,M,Chelsea,normal,Instagram,2020-05-23,1995-04-03,Android
112780,F,Chelsea,premium,Recommendation,2020-04-20,1997-04-28,Android
112782,M,Chelsea,premium,Recommendation,2020-05-16,1999-10-27,Android
112791,M,Chelsea,premium,Facebook,2020-05-05,1999-08-16,Android
112796,M,Chelsea,normal,Google,2020-04-03,1995-02-24,Android
112800,M,Chelsea,normal,Google,2020-04-09,2002-04-08,Android
112806,F,Chelsea,premium,Recommendation,2020-04-21,2002-01-09,Android
112807,M,Chelsea,premium,Google,2020-05-19,2002-10-17,Android
112814,F,Chelsea,normal,Instagram,2020-04-14,1998-12-29,Android
112830,M,Chelsea,premium,Google,2020-04-13,1998-10-02,Android
112837,M,Chelsea,normal,Google,2020-05-24,1996-03-12,Android
112854,M,Chelsea,premium,Facebook,2020-04-13,2001-07-31,Android
112863,F,Chelsea,normal,Google,2020-04-14,1996-08-01,Android
112865,M,Chelsea,premium,Instagram,2020-04-20,1998-07-18,IOS
112868,M,Chelsea,normal,Google,2020-05-09,1998-07-03,Android
112881,F,Chelsea,premium,Instagram,2020-04-17,1999-03-21,Android
112886,M,Chelsea,normal,Google,2020-05-08,1996-08-17,Android
112890,F,Chelsea,normal,Facebook,2020-05-04,1997-03-11,Android
112891,M,Chelsea,normal,Marketplace,2020-05-27,1995-10-25,Android
112898,M,Chelsea,normal,Instagram,2020-04-02,2002-04-20,Android
112900,F,Chelsea,normal,Instagram,2020-04-28,1997-10-06,Android
112922,M,Chelsea,normal,Instagram,2020-04-01,1997-08-30,Android
112926,M,Chelsea,premium,Google,2020-05-23,1999-10-27,Android
